lead_indices,lead_names,metric,n,mean,std,min,max,paired_mean_delta_vs12,fraction_strictly_better_vs12
6;7,V1;V2,macro_f1,10,0.6975945094621088,0.004347364191177885,0.689733226283458,0.7048024077844878,0.007500024016285222,1.0
6;7,V1;V2,macro_sensitivity,10,0.7021193029464475,0.004548104640282244,0.6934040379538803,0.7098882041941441,0.005555794321158903,0.9
6;7,V1;V2,auroc_af,10,0.9624066725455614,0.0004137626773491763,0.9617871840094062,0.963073192239859,-0.00466637272192828,0.0
6;7,V1;V2,f1_af,10,0.902447557890763,0.002215399442077978,0.898876404494382,0.9044943820224719,-2.5607635569291353e-05,0.4
6;7,V1;V2,sensitivity_af,10,0.8916666666666666,0.002928034870526326,0.8888888888888888,0.8944444444444445,-0.0027777777777778234,0.0
6;7,V1;V2,sens95_af,10,0.9072222222222222,0.002683588286331368,0.9055555555555556,0.9111111111111111,0.0005555555555555536,0.1
6;7,V1;V2,auroc_ischemia,10,0.8695853476398223,0.0016458380515491644,0.867161891286405,0.8731203081397634,-0.037347797036512996,0.0
6;7,V1;V2,f1_ischemia,10,0.6252857125198044,0.009148206568459345,0.61198738170347,0.6435331230283912,-0.046299077545521664,0.0
6;7,V1;V2,sensitivity_ischemia,10,0.6072727272727272,0.009814107314336244,0.5878787878787879,0.6181818181818182,-0.05090909090909094,0.0
6;7,V1;V2,sens95_ischemia,10,0.5503030303030303,0.01333945375290439,0.5272727272727272,0.5696969696969697,-0.046666666666666676,0.0
6;7,V1;V2,auroc_conduction,10,0.9633231171513431,0.0006132254114604502,0.9621890735801955,0.9641170423916288,0.006196974936405486,1.0
6;7,V1;V2,f1_conduction,10,0.8876221008694938,0.0024847065525290574,0.8840381991814461,0.89280868385346,0.01783159294364447,1.0
6;7,V1;V2,sensitivity_conduction,10,0.8638522427440634,0.004162589117396409,0.8548812664907651,0.8680738786279684,0.021372031662269142,1.0
6;7,V1;V2,sens95_conduction,10,0.8488126649076516,0.006587505122629374,0.8390501319261213,0.862796833773087,0.025593667546174113,1.0
6;7,V1;V2,auroc_ectopy,10,0.8731493117038898,0.0019924961779268146,0.8698948991831839,0.8766350602616096,0.010838521734163442,1.0
6;7,V1;V2,f1_ectopy,10,0.46457247372022714,0.01649601118324602,0.42953020134228187,0.48717948717948717,0.08111807648928634,1.0
6;7,V1;V2,sensitivity_ectopy,10,0.4378048780487805,0.02028451211361732,0.3902439024390244,0.4634146341463415,0.0731707317073171,1.0
6;7,V1;V2,sens95_ectopy,10,0.47073170731707326,0.029425952960737984,0.4268292682926829,0.5121951219512195,0.15243902439024387,1.0
