stage,seed,lead_names,lead_indices,prediction_sha256,n,correct,incorrect,accuracy
seed42,42,II;aVL;V1,1;4;6,a79cef14e90b622ced586eb68db1597a630bb9cdc4b1462cf34f4b24ba53db0e,936,712,224,0.7606837606837606
seed42,42,II;aVL;V2,1;4;7,32240a62e4848bd104bce5aa9a37b941c85be482a0c6913787372528e02bde02,936,718,218,0.7670940170940171
seed42,42,II;aVL;V3,1;4;8,b18c1cb0d381ff696f917181095ad76e3ded12a7daae03f47ccf2093919a11ce,936,710,226,0.7585470085470085
seed42,42,II;aVL;V4,1;4;9,0347eb32cb89535f1e598484dae2c6c3d14362fabf9e37196f6550554f21ff41,936,705,231,0.7532051282051282
seed42,42,II;aVL;V5,1;4;10,f45b0c99c84c2bcc47004dd1084000ab4edbd11bb67d60af48053e3938bdbd14,936,695,241,0.7425213675213675
seed42,42,II;aVL;V6,1;4;11,6d64fb0ed83b1f843836cc25d06583dce786ed8b080ed46b62829433d2d45365,936,705,231,0.7532051282051282
seed42,42,II;aVF;V1,1;5;6,d49f84fbabd25058238a616dca7dc732fb6ab81c6f8d18b366108ad36ff5a4a9,936,716,220,0.7649572649572649
seed42,42,II;aVF;V2,1;5;7,ca2511beedf3f7467ae2976695d979b5368d36b4ee73dd3d5dd267ffb4f51695,936,722,214,0.7713675213675214
seed42,42,II;aVF;V3,1;5;8,507528609ce2837cddab2d63277a141854c68139652fec5fd4c123ece36fbc4d,936,711,225,0.7596153846153846
seed42,42,II;aVF;V4,1;5;9,bd23dd6d3ceee670bf5bcf9ea6c060295099f1d9ce90108ab22bb23e82435a07,936,703,233,0.7510683760683761
seed42,42,II;aVF;V5,1;5;10,c827961d4dda0af77e0f32ebac9cccfc246fee3001a5de5cd6943ed4798ed823,936,707,229,0.7553418803418803
seed42,42,II;aVF;V6,1;5;11,fb72c3bdd6eede52abff9fa80735f5f8798f2c41fa157168ec0b33d07af42316,936,705,231,0.7532051282051282
seed42,42,II;V1;V2,1;6;7,74be7b1603acfa3287a7758f34612492e3294bc31f0dcbee7e4500f22d5e75b7,936,725,211,0.7745726495726496
seed42,42,II;V1;V3,1;6;8,3d4d5070a82ae5ecbf07e9da4eec6828b5a63a53bb65f2d30e38b238d9069cdb,936,715,221,0.7638888888888888
seed42,42,II;V1;V4,1;6;9,2eab269a4b3e0f59efd903af134728b5e3b015c0eca08310af79e07affc7f25a,936,719,217,0.7681623931623932
seed42,42,II;V1;V5,1;6;10,4776a5ee990cc17e4f04e4cb8d3f47e3552014ccf018a696d746215c6b872989,936,713,223,0.7617521367521367
seed42,42,II;V1;V6,1;6;11,9152740b4e5facffd22d79ebd60de9998ecd1270628b76dd6fcb3c97de0217ae,936,719,217,0.7681623931623932
seed42,42,II;V2;V3,1;7;8,b12a6ad8c6cd3fc064354f77135f23cdf1e68cc6b66832ed31d7a81b912ca4cb,936,716,220,0.7649572649572649
seed42,42,II;V2;V4,1;7;9,18076b5f7931b9392b874e7617dee59224f2cf441bf1476284b3b2605a58de62,936,716,220,0.7649572649572649
seed42,42,II;V2;V5,1;7;10,468f6881b5f97e984e19ffe99fa6867d8bd3adbdd331338e079b7998dbd3dfab,936,713,223,0.7617521367521367
seed42,42,II;V2;V6,1;7;11,beca99542843c3adb54e3adaec9c0543119cf04056168f49dad99254f5b31721,936,717,219,0.7660256410256411
seed42,42,II;V3;V4,1;8;9,beccfdd43c5adc0eebc81702576a1b13af9efbffc6d4c8adecc7f6fb0307c8cc,936,706,230,0.7542735042735043
seed42,42,II;V3;V5,1;8;10,cefda6668ab78dcf31320a619bf7013c2cdc6929073fa645143cfa1bee8d57f0,936,708,228,0.7564102564102564
seed42,42,II;V3;V6,1;8;11,cba99ad30857e6ecd41271ae8c3377a0178954aa741e82c510018503c1caa664,936,703,233,0.7510683760683761
seed42,42,II;V4;V5,1;9;10,0a0576c994ee5add31c1c2c4885f25f27d65119dbc2468eb3d8392a81a1b1cf2,936,704,232,0.7521367521367521
seed42,42,II;V4;V6,1;9;11,31fbd0944463f4bcd3aae31913d7a6bf173795c28bbc7cf52bf9960454474143,936,702,234,0.75
seed42,42,II;V5;V6,1;10;11,a109539ecd0843477bda4c49c59a27c252d398efee46ff20d426b1dcd1d9c5e9,936,703,233,0.7510683760683761
seed42,42,III;aVR;aVL,2;3;4,744953a0268d78cd0bb39831e78ea3faff5b09daf4d4793d5c497741afe89cbc,936,713,223,0.7617521367521367
seed42,42,III;aVR;aVF,2;3;5,21e368e9ddf7d161857a000256beee86fb5189253d99ca962bbef4368635cad4,936,709,227,0.7574786324786325
